country_name,year,civicus_score,civicus_rating
Botswana,2025,72.0,Narrowed
Brazil,2022,43.11,Obstructed
Brazil,2023,49.31,Obstructed
Brazil,2024,52.0,Obstructed
Brazil,2025,55.17,Obstructed
Brunei Darussalam,2023,33.59,Repressed
Brunei Darussalam,2024,35.0,Repressed
Brunei Darussalam,2025,29.58,Repressed
Bulgaria,2022,68.65,Narrowed
Bulgaria,2023,69.81,Narrowed
Bulgaria,2024,70.0,Narrowed
Bulgaria,2025,65.48,Narrowed
Burkina Faso,2023,45.56,Obstructed
Burkina Faso,2024,34.0,Repressed
Burkina Faso,2025,25.17,Repressed
Burundi,2022,18.02,Closed
Burundi,2023,27.69,Repressed
Burundi,2024,23.0,Repressed
Burundi,2025,12.12,Closed
Cambodia,2023,31.47,Repressed
Cambodia,2024,27.0,Repressed
Cambodia,2025,27.02,Repressed
Cameroon,2023,26.07,Repressed
Cameroon,2024,26.0,Repressed
Cameroon,2025,22.5,Repressed
Canada,2022,82.84,Open
Canada,2023,81.09,Open
Canada,2024,82.0,Open
Canada,2025,82.0,Open
Cape Verde,2023,88.16,Open
Cape Verde,2024,87.0,Open
Cape Verde,2025,87.68,Open
Central African Republic,2022,20.22,Closed
Central African Republic,2023,30.91,Repressed
Central African Republic,2024,33.0,Repressed
Central African Republic,2025,34.83,Repressed
Chad,2022,27.56,Repressed
Chad,2023,25.06,Repressed
Chad,2024,26.0,Repressed
Chad,2025,30.75,Repressed
Chile,2023,66.63,Narrowed
Chile,2024,80.0,Narrowed
Chile,2025,76.28,Narrowed
China,2022,9.87,Closed
China,2023,12.88,Closed
China,2024,10.0,Closed
China,2025,9.67,Closed
Colombia,2022,31.02,Repressed
Colombia,2023,36.82,Repressed
Colombia,2024,38.0,Repressed
Colombia,2025,40.0,Repressed
Comoros,2023,45.96,Obstructed
Comoros,2024,50.0,Obstructed
Comoros,2025,56.19,Obstructed
Costa Rica,2022,72.04,Narrowed
Costa Rica,2023,80.16,Narrowed
Costa Rica,2024,77.0,Narrowed
Costa Rica,2025,78.06,Narrowed
Croatia,2023,74.33,Narrowed
Croatia,2024,74.0,Narrowed
Croatia,2025,70.83,Narrowed
Cuba,2022,12.99,Closed
Cuba,2023,13.6,Closed
Cuba,2024,16.0,Closed
Cuba,2025,13.15,Closed
Cyprus,2023,78.59,Narrowed
Cyprus,2024,80.0,Narrowed
Cyprus,2025,75.03,Narrowed
Czech Republic,2023,89.73,Open
Czech Republic,2024,86.0,Open
Czech Republic,2025,86.85,Open
Côte d'Ivoire,2023,53.5,Obstructed
Côte d'Ivoire,2024,57.0,Obstructed
Côte d'Ivoire,2025,52.96,Obstructed
Democratic Republic of the Congo,2022,22.05,Repressed
Democratic Republic of the Congo,2023,33.27,Repressed
Democratic Republic of the Congo,2024,27.0,Repressed
Democratic Republic of the Congo,2025,25.62,Repressed
Denmark,2023,88.46,Open
Denmark,2024,94.0,Open
Denmark,2025,88.67,Open
Djibouti,2022,14.15,Closed
Djibouti,2023,19.58,Closed
Djibouti,2024,19.0,Closed
Djibouti,2025,12.48,Closed
Dominica,2023,80.06,Narrowed
Dominica,2024,78.0,Narrowed
Dominica,2025,70.09,Narrowed
Dominican Republic,2023,72.8,Narrowed
